chembl_id,molecule_name,curation_batch,proposed_class,decision,functional_class,primary_binary_label,evidence_tier,dataset_admission_eligible,primary_analysis_eligible,training_eligible,curation_mode,decision_engine,human_validation_claimed,human_approval_required,decision_rationale,functional_activity_rows,qualifying_activity_rows,representative_activity_id,representative_assay_id,representative_document_id,representative_source_url,representative_evidence_passage,audited_at_utc,ruleset_version
CHEMBL3222055,CHEMBL3222055,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,1 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,14552518,CHEMBL3223903,CHEMBL3217453,https://doi.org/10.1039/C1MD00082A,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,2026-09-10T12:57:45.681015+00:00,a2a-computational-curation-v1.3
CHEMBL3222061,CHEMBL3222061,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,1 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,14552496,CHEMBL3223903,CHEMBL3217453,https://doi.org/10.1039/C1MD00082A,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,2026-09-10T12:57:45.681049+00:00,a2a-computational-curation-v1.3
CHEMBL3222062,CHEMBL3222062,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,1 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,14552494,CHEMBL3223903,CHEMBL3217453,https://doi.org/10.1039/C1MD00082A,Antagonist activity at human adenosine A2A receptor expressed in CHO-K1 cells preincubated for 15 mins before NECA addition measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,2026-09-10T12:57:45.681083+00:00,a2a-computational-curation-v1.3
CHEMBL3317574,CHEMBL3317574,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,1 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,15029631,CHEMBL3379793,CHEMBL3352340,https://doi.org/10.1016/j.ejmech.2014.07.060,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-stimulated cAMP level by scintillation counting analysis,2026-09-10T12:57:45.681125+00:00,a2a-computational-curation-v1.3
CHEMBL4064795,CHEMBL4064795,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,1 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,18059396,CHEMBL4012875,CHEMBL4011624,https://doi.org/10.1021/acs.jmedchem.7b00457,Antagonist activity at human adenosine receptor A2A expressed in CHO cell membranes assessed as inhibition of NECA-induced increase of cAMP accumulation preincubated for 10 mins followed by NECA addition measured after 10 mins by GloSensor cAMP assay,2026-09-10T12:57:45.681167+00:00,a2a-computational-curation-v1.3
CHEMBL458242,CHEMBL458242,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 2 traceable primary publication(s).,2,2,2399563,CHEMBL950440,CHEMBL1152277,https://doi.org/10.1021/jm800851u,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of CGS-21680-induced cAMP production,2026-09-10T12:57:45.681205+00:00,a2a-computational-curation-v1.3
CHEMBL4849795,CHEMBL4849795,1,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,1 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,23172721,CHEMBL4814789,CHEMBL4813923,https://doi.org/10.1016/j.ejmech.2020.113040,Antagonist activity at human A2A expressed in human HEK293 cells assessed as reduction in cAMP production preincubated for 10 mins followed by NECA stimulation and measured after 30 mins by micro plate reader method,2026-09-10T12:57:45.681244+00:00,a2a-computational-curation-v1.3
CHEMBL4063841,CHEMBL4063841,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,3,3,18224819,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.681309+00:00,a2a-computational-curation-v1.3
CHEMBL5090017,CHEMBL5090017,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,4 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,4,4,24422738,CHEMBL5049261,CHEMBL5046288,https://doi.org/10.1021/acs.jmedchem.1c02199,Antagonist activity at human A2aR expressed in HEK293 cells assessed as reduction in NECA-induced cAMP production incubated for 20 mins in presence of 20 nM NECA by GloSensor cAMP detection assay,2026-09-10T12:57:45.681393+00:00,a2a-computational-curation-v1.3
CHEMBL4072009,CHEMBL4072009,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,3,3,18224822,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.681457+00:00,a2a-computational-curation-v1.3
CHEMBL5562893,CHEMBL5562893,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,4 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,4,4,25935600,CHEMBL5531816,CHEMBL5528085,https://doi.org/10.1021/acs.jmedchem.4c00250,Antagonist activity at human adenosine 2A receptor overexpressed in HEK293 cells preincubated for 0.5 hrs followed by NECA stimulation by GloSensor cAMP assay,2026-09-10T12:57:45.681557+00:00,a2a-computational-curation-v1.3
CHEMBL5397080,CHEMBL5397080,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,3,3,25695785,CHEMBL5383591,CHEMBL5380829,https://doi.org/10.1021/acs.jmedchem.2c01860,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP accumulation at 1 uM pretreated for 30 mins followed by NECA induction by GloSensor assay relative to control,2026-09-10T12:57:45.681623+00:00,a2a-computational-curation-v1.3
CHEMBL5439885,CHEMBL5439885,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,3,3,25695790,CHEMBL5383591,CHEMBL5380829,https://doi.org/10.1021/acs.jmedchem.2c01860,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP accumulation at 1 uM pretreated for 30 mins followed by NECA induction by GloSensor assay relative to control,2026-09-10T12:57:45.681689+00:00,a2a-computational-curation-v1.3
CHEMBL4075186,CHEMBL4075186,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,3,3,18224820,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.681753+00:00,a2a-computational-curation-v1.3
CHEMBL5619355,CHEMBL5619355,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,3,3,26125659,CHEMBL5616300,CHEMBL5614411,https://doi.org/10.1016/j.bmc.2024.117881,Antagonist activity at human Adenosine receptor A2a transfected in HEK293 cells co-expressing CRE-luciferase plasmid assessed as reduction in CRE promoter activity at 10 uM incubated for 18 hrs by luciferase based CRE reporter assay,2026-09-10T12:57:45.681820+00:00,a2a-computational-curation-v1.3
CHEMBL601413,CHEMBL601413,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,3,3,3107075,CHEMBL1071497,CHEMBL1156885,https://doi.org/10.1021/jm901647p,"Antagonist activity at human adenosine 2A receptor expressed in HEK293 cells assessed as inhibition of 10 nM 3-(4-(2-(6-amino-9-((2R,3R,4S,5S)-5-(ethylcarbamoyl)-3,4-dihydroxytetrahydrofuran-2-yl)-9H-purin-2-ylamino)ethyl)phenyl)propanoic acid-induced intracellular cAMP production at 10 uM",2026-09-10T12:57:45.681904+00:00,a2a-computational-curation-v1.3
CHEMBL4076495,CHEMBL4076495,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,3,3,18224826,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.681968+00:00,a2a-computational-curation-v1.3
CHEMBL431770,ISTRADEFYLLINE,2,antagonist,quarantine_excluded_function,unknown,,,False,False,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,Raw ChEMBL evidence contains endpoint-excluded functional class(es) ['inverse_agonist']; the record cannot enter the binary agonist-versus-antagonist endpoint.,3,3,13300499,CHEMBL2384072,CHEMBL2380258,https://doi.org/10.1016/j.bmcl.2013.03.070,Antagonist activity at recombinant human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP production after 60 mins,2026-09-10T12:57:45.682035+00:00,a2a-computational-curation-v1.3
CHEMBL2024116,CHEMBL2024116,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,22757057,CHEMBL4701050,CHEMBL4699449,https://doi.org/10.1021/acs.jmedchem.0c00237,Antagonist activity at human adenosine 2A receptor expressed in CHO-K1 cells assessed as reduction in cAMP level in presence of 10 uM adenosine by fluorescent Assay,2026-09-10T12:57:45.682068+00:00,a2a-computational-curation-v1.3
CHEMBL2382434,CHEMBL2382434,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,13299560,CHEMBL2382682,CHEMBL2380255,https://doi.org/10.1021/jm400336x,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as decrease in NECA-induced cAMP accumulation up to 20 uM incubated for 10 mins followed by NECA induction for 15 mins measured after 60 mins by liquid scintillation counting analysis in presence of [3H]cAMP,2026-09-10T12:57:45.682109+00:00,a2a-computational-curation-v1.3
CHEMBL4078771,CHEMBL4078771,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,3,3,18224828,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.682173+00:00,a2a-computational-curation-v1.3
CHEMBL3827859,CHEMBL3827859,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,16652695,CHEMBL3831099,CHEMBL3826885,https://doi.org/10.1016/j.bmc.2016.07.028,Antagonist activity at human adenosine receptor A2a expressed in CHO cell membranes assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins in presence of [3H]cAMP by liquid scintillation counting,2026-09-10T12:57:45.682217+00:00,a2a-computational-curation-v1.3
CHEMBL3904408,CHEMBL3904408,2,antagonist,quarantine_excluded_function,unknown,,,False,False,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,Raw ChEMBL evidence contains endpoint-excluded functional class(es) ['inverse_agonist']; the record cannot enter the binary agonist-versus-antagonist endpoint.,2,2,16853874,CHEMBL3878910,CHEMBL3877301,https://doi.org/10.1021/acs.jmedchem.6b01068,Antagonist activity against human adenosine A2A receptor expressed in CHO cells assessed as inhibition of CGS21680-stimulated cAMP accumulation measured after 150 mins in presence of [3H]cAMP by scintillation counting method,2026-09-10T12:57:45.682266+00:00,a2a-computational-curation-v1.3
CHEMBL4081224,CHEMBL4081224,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,3,3,18224825,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.682330+00:00,a2a-computational-curation-v1.3
CHEMBL4125975,CHEMBL4125975,2,antagonist,quarantine_excluded_function,unknown,,,False,False,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,Raw ChEMBL evidence contains endpoint-excluded functional class(es) ['inverse_agonist']; the record cannot enter the binary agonist-versus-antagonist endpoint.,2,2,18301019,CHEMBL4124843,CHEMBL4118252,https://doi.org/10.1016/j.bmc.2018.05.048,Antagonist activity at human A2A adenosine receptor expressed in CHO cells assessed as inhibition of CGS21680-stimulated cAMP level after 30 mins by Alphascreen assay,2026-09-10T12:57:45.682371+00:00,a2a-computational-curation-v1.3
CHEMBL4126427,CHEMBL4126427,2,antagonist,quarantine_excluded_function,unknown,,,False,False,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,Raw ChEMBL evidence contains endpoint-excluded functional class(es) ['inverse_agonist']; the record cannot enter the binary agonist-versus-antagonist endpoint.,2,2,18301020,CHEMBL4124843,CHEMBL4118252,https://doi.org/10.1016/j.bmc.2018.05.048,Antagonist activity at human A2A adenosine receptor expressed in CHO cells assessed as inhibition of CGS21680-stimulated cAMP level after 30 mins by Alphascreen assay,2026-09-10T12:57:45.682412+00:00,a2a-computational-curation-v1.3
CHEMBL4086624,CHEMBL4086624,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,3,3,18224830,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.682476+00:00,a2a-computational-curation-v1.3
CHEMBL4127213,CHEMBL4127213,2,antagonist,quarantine_excluded_function,unknown,,,False,False,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,Raw ChEMBL evidence contains endpoint-excluded functional class(es) ['inverse_agonist']; the record cannot enter the binary agonist-versus-antagonist endpoint.,2,2,18301017,CHEMBL4124843,CHEMBL4118252,https://doi.org/10.1016/j.bmc.2018.05.048,Antagonist activity at human A2A adenosine receptor expressed in CHO cells assessed as inhibition of CGS21680-stimulated cAMP level after 30 mins by Alphascreen assay,2026-09-10T12:57:45.682519+00:00,a2a-computational-curation-v1.3
CHEMBL5407903,CHEMBL5407903,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,25695793,CHEMBL5383591,CHEMBL5380829,https://doi.org/10.1021/acs.jmedchem.2c01860,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP accumulation at 1 uM pretreated for 30 mins followed by NECA induction by GloSensor assay relative to control,2026-09-10T12:57:45.682564+00:00,a2a-computational-curation-v1.3
CHEMBL5410497,CHEMBL5410497,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,25695775,CHEMBL5383591,CHEMBL5380829,https://doi.org/10.1021/acs.jmedchem.2c01860,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP accumulation at 1 uM pretreated for 30 mins followed by NECA induction by GloSensor assay relative to control,2026-09-10T12:57:45.682610+00:00,a2a-computational-curation-v1.3
CHEMBL4101850,CHEMBL4101850,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,3 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,3,3,18224821,CHEMBL4048590,CHEMBL4043287,https://doi.org/10.1021/acs.jmedchem.8b00047,Agonist activity at human A2A-AR expressed in FlpIn-CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation preincubated for 40 mins followed by forskolin addition measured after 30 mins by Alphascreen assay,2026-09-10T12:57:45.682673+00:00,a2a-computational-curation-v1.3
CHEMBL5425820,CHEMBL5425820,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,25695791,CHEMBL5383591,CHEMBL5380829,https://doi.org/10.1021/acs.jmedchem.2c01860,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced cAMP accumulation at 1 uM pretreated for 30 mins followed by NECA induction by GloSensor assay relative to control,2026-09-10T12:57:45.682719+00:00,a2a-computational-curation-v1.3
CHEMBL5556919,CHEMBL5556919,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,25886233,CHEMBL5517161,CHEMBL5512687,https://doi.org/10.1021/acs.jmedchem.4c01003,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP production at 10 uM pre-incubated for 15 mins by cAMP Biotrak Enzymeimmunoassay relative to control,2026-09-10T12:57:45.682767+00:00,a2a-computational-curation-v1.3
CHEMBL2070507,CHEMBL2070507,2,agonist,accept_agonist,agonist,1,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional agonist direction to 1 traceable primary publication(s).,2,2,10993397,CHEMBL2072287,CHEMBL2069206,https://doi.org/10.1021/jm300095s,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP accumulation after 30 mins,2026-09-10T12:57:45.682807+00:00,a2a-computational-curation-v1.3
CHEMBL555958,CHEMBL555958,2,antagonist,accept_antagonist,antagonist,0,tier_1,True,True,False,machine_curated_computational_audit,deterministic_evidence_rules,False,False,2 qualifying activity row(s) link an explicit human A2A functional antagonist direction to 1 traceable primary publication(s).,2,2,2699301,CHEMBL1062522,CHEMBL1153525,https://doi.org/10.1021/jm900298c,Antagonist activity at human A2aR expressed in HEK293 cells assessed as cAMP accumulation at 10 uM,2026-09-10T12:57:45.682841+00:00,a2a-computational-curation-v1.3
